GEO_ID,State ID,County ID,Census Tract ID,NAME,State Total,Total Non-White,Unemployment Rate Ages 16+,Total Population,Total Population Under 5,Total Population over 64,Total Households,Total Households Below Poverty,Estimate!!Total!!All households,Estimate!!Limited English-speaking households!!All households,Total Households,Housing Burdened Homes,Total,Total Less Than High School Education
1400000US37001020100,37,1,37001020100,"Census Tract 201, Alamance County, North Carolina",4224,1389,7.2,4224,336,646,1925,507,1925,62,853,240,3079,430
1400000US37001020200,37,1,37001020200,"Census Tract 202, Alamance County, North Carolina",4208,3003,6.8,4208,97,537,1475,593,1475,113,686,256,2649,790
1400000US37001020301,37,1,37001020301,"Census Tract 203.01, Alamance County, North Carolina",3908,2553,10.7,3908,223,917,1464,354,1464,125,621,103,2841,490
1400000US37001020302,37,1,37001020302,"Census Tract 203.02, Alamance County, North Carolina",3611,2825,2.7,3611,321,510,1168,166,1168,99,888,170,2177,848
1400000US37001020400,37,1,37001020400,"Census Tract 204, Alamance County, North Carolina",6173,4725,8.9,6173,420,692,2512,592,2512,233,1466,549,3836,703
1400000US37001020501,37,1,37001020501,"Census Tract 205.01, Alamance County, North Carolina",3860,1094,4.4,3860,229,491,1328,145,1328,37,943,241,2337,310
1400000US37001020502,37,1,37001020502,"Census Tract 205.02, Alamance County, North Carolina",4341,3287,8.4,4341,555,359,1539,427,1539,68,690,127,2437,581
1400000US37001020601,37,1,37001020601,"Census Tract 206.01, Alamance County, North Carolina",3234,221,0.8,3234,186,998,1441,56,1441,0,1358,198,2476,34
1400000US37001020602,37,1,37001020602,"Census Tract 206.02, Alamance County, North Carolina",2628,303,1.9,2628,0,935,1278,69,1278,0,921,66,1919,72
1400000US37001020701,37,1,37001020701,"Census Tract 207.01, Alamance County, North Carolina",5611,1414,2.7,5611,122,1310,2564,298,2564,13,1850,233,4295,436
1400000US37001020702,37,1,37001020702,"Census Tract 207.02, Alamance County, North Carolina",5500,2954,8.3,5500,240,838,2609,325,2609,0,1052,88,3694,312
1400000US37001020801,37,1,37001020801,"Census Tract 208.01, Alamance County, North Carolina",1819,845,2,1819,132,270,682,52,682,5,486,81,1272,141
1400000US37001020802,37,1,37001020802,"Census Tract 208.02, Alamance County, North Carolina",5909,4452,7.1,5909,257,854,2281,524,2281,162,849,138,3959,1273
1400000US37001020901,37,1,37001020901,"Census Tract 209.01, Alamance County, North Carolina",3549,1307,2.2,3549,238,773,1598,85,1598,36,1087,60,2676,196
1400000US37001020902,37,1,37001020902,"Census Tract 209.02, Alamance County, North Carolina",4211,1138,2.5,4211,301,797,1615,175,1615,31,1450,249,2827,242
1400000US37001021000,37,1,37001021000,"Census Tract 210, Alamance County, North Carolina",4723,3280,13.9,4723,432,494,1833,682,1833,24,484,92,2770,467
1400000US37001021101,37,1,37001021101,"Census Tract 211.01, Alamance County, North Carolina",3267,1286,6.1,3267,254,661,1592,199,1592,0,835,177,2456,339
1400000US37001021102,37,1,37001021102,"Census Tract 211.02, Alamance County, North Carolina",3389,986,6.4,3389,220,613,1464,318,1464,0,939,205,2332,269
1400000US37001021201,37,1,37001021201,"Census Tract 212.01, Alamance County, North Carolina",6274,3636,1.8,6274,503,1058,2183,354,2183,104,1532,345,3915,805
1400000US37001021204,37,1,37001021204,"Census Tract 212.04, Alamance County, North Carolina",4867,1673,2.3,4867,231,748,1900,231,1900,19,1625,245,3577,444
